"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708112_CTAg_3d_1.txt"	"Ag.CT.3d.1"	"Ag.CT.3d"	"Ag"	NA	"CT"	NA	3	1
"GSM1708113_CTAg_3d_2.txt"	"Ag.CT.3d.2"	"Ag.CT.3d"	"Ag"	NA	"CT"	NA	3	2
"GSM1708114_CTAg_3d_3.txt"	"Ag.CT.3d.3"	"Ag.CT.3d"	"Ag"	NA	"CT"	NA	3	3
"GSM1708115_AgNO3_EC20_3d_1.txt"	"Ag.AgNO3.EC20.3d.1"	"Ag.AgNO3.EC20.3d"	"Ag"	"AgNO3"	NA	"EC20"	3	1
"GSM1708116_AgNO3_EC20_3d_2.txt"	"Ag.AgNO3.EC20.3d.2"	"Ag.AgNO3.EC20.3d"	"Ag"	"AgNO3"	NA	"EC20"	3	2
"GSM1708117_AgNO3_EC20_3d_3.txt"	"Ag.AgNO3.EC20.3d.3"	"Ag.AgNO3.EC20.3d"	"Ag"	"AgNO3"	NA	"EC20"	3	3
"GSM1708118_AgNO3_EC50_3d_1.txt"	"Ag.AgNO3.EC50.3d.1"	"Ag.AgNO3.EC50.3d"	"Ag"	"AgNO3"	NA	"EC50"	3	1
"GSM1708119_AgNO3_EC50_3d_2.txt"	"Ag.AgNO3.EC50.3d.2"	"Ag.AgNO3.EC50.3d"	"Ag"	"AgNO3"	NA	"EC50"	3	2
"GSM1708120_AgNO3_EC50_3d_3.txt"	"Ag.AgNO3.EC50.3d.3"	"Ag.AgNO3.EC50.3d"	"Ag"	"AgNO3"	NA	"EC50"	3	3
"GSM1708121_Coated_EC20_3d_1.txt"	"Ag.Coated.EC20.3d.1"	"Ag.Coated.EC20.3d"	"Ag"	"Coated"	NA	"EC20"	3	1
"GSM1708122_Coated_EC20_3d_2.txt"	"Ag.Coated.EC20.3d.2"	"Ag.Coated.EC20.3d"	"Ag"	"Coated"	NA	"EC20"	3	2
"GSM1708123_Coated_EC20_3d_3.txt"	"Ag.Coated.EC20.3d.3"	"Ag.Coated.EC20.3d"	"Ag"	"Coated"	NA	"EC20"	3	3
"GSM1708124_Coated_EC50_3d_1.txt"	"Ag.Coated.EC50.3d.1"	"Ag.Coated.EC50.3d"	"Ag"	"Coated"	NA	"EC50"	3	1
"GSM1708125_Coated_EC50_3d_2.txt"	"Ag.Coated.EC50.3d.2"	"Ag.Coated.EC50.3d"	"Ag"	"Coated"	NA	"EC50"	3	2
"GSM1708126_Coated_EC50_3d_3.txt"	"Ag.Coated.EC50.3d.3"	"Ag.Coated.EC50.3d"	"Ag"	"Coated"	NA	"EC50"	3	3
"GSM1708127_NC_EC20_3d_1.txt"	"Ag.NC.EC20.3d.1"	"Ag.NC.EC20.3d"	"Ag"	"NC"	NA	"EC20"	3	1
"GSM1708128_NC_EC20_3d_2.txt"	"Ag.NC.EC20.3d.2"	"Ag.NC.EC20.3d"	"Ag"	"NC"	NA	"EC20"	3	2
"GSM1708129_NC_EC20_3d_3.txt"	"Ag.NC.EC20.3d.3"	"Ag.NC.EC20.3d"	"Ag"	"NC"	NA	"EC20"	3	3
"GSM1708130_NC_EC50_3d_1.txt"	"Ag.NC.EC50.3d.1"	"Ag.NC.EC50.3d"	"Ag"	"NC"	NA	"EC50"	3	1
