# obtained from R object "mapping.unique", downloaded on 1 July 2016 from 
# http://halfonlab.ccr.buffalo.edu/spike/mapping.unique
"probe.set.id","fold.change"
"141200_at",4
"141201_at",4
"141202_at",4
"141203_at",4
"141204_at",4
"141205_at",4
"141206_at",1
"141207_at",2.5
"141208_at",4
"141209_at",-1
"141210_at",1
"141211_at",1
"141212_at",1
"141213_at",-1
"141214_at",4
"141215_at",1
"141216_at",4
"141217_at",1
"141218_at",4
"141219_at",4
"141220_at",1
"141221_at",4
"141222_at",1.7
"141223_at",1
"141224_at",2
"141225_at",4
"141226_at",4
"141227_at",-1
"141228_at",4
"141229_at",4
"141230_at",1
"141231_at",4
"141232_at",4
"141233_at",4
"141234_at",4
"141235_at",4
"141236_at",1
"141237_at",4
"141238_at",4
"141239_at",-1
"141240_at",4
"141241_at",4
"141242_at",1.7
"141243_at",2
"141244_at",1
"141245_at",4
"141246_at",-1
"141247_at",4
"141248_at",1
"141249_at",4
"141250_at",-1
"141251_at",1
"141252_at",4
"141253_at",4
"141254_at",4
"141255_at",4
"141256_at",1
"141257_at",4
"141258_at",4
"141259_at",4
"141260_at",4
"141261_at",4
"141262_at",1
"141263_at",4
"141264_at",4
"141265_at",4
"141266_at",4
"141267_at",1
"141268_at",-1
"141269_at",2
"141270_at",4
"141271_at",4
"141272_at",4
"141273_at",4
"141274_at",4
"141275_at",-1
"141276_at",4
"141277_at",4
"141278_at",1
"141279_at",4
"141280_at",1.7
"141281_at",-1
"141282_at",1
"141283_at",1
"141284_at",1
"141285_at",-1
"141286_at",4
"141287_at",4
"141288_at",4
"141289_at",1.7
"141290_at",4
"141291_at",2
"141292_at",1
"141293_at",1
"141294_at",4
"141295_at",-1
"141296_at",-1
"141297_at",-1
"141298_at",1.7
"141299_at",1.7
"141300_at",4
"141301_at",1.7
"141302_at",1
"141303_at",4
"141304_at",4
"141305_at",4
"141306_at",1
"141307_at",2
"141308_at",1
"141309_at",-1
"141310_at",1.7
"141311_at",4
"141312_at",4
"141313_at",1.7
"141314_at",1
"141315_at",1
"141316_at",4
"141317_at",1
"141318_at",1
"141319_at",1
"141320_at",4
"141321_at",1.7
"141322_at",-1
"141323_at",1
"141324_at",2
"141325_at",1
"141326_at",-1
"141327_at",1
"141328_at",4
"141329_at",1
