# obtained text file "Affyprobeset.fcvalue", downloaded on 1 July 2016 from 
# http://halfonlab.ccr.buffalo.edu/platinum_spike/Affyprobeset.fcvalue
"probe.set.id","fold.change"
1616608_a_at,0
1622892_s_at,MC
1622893_at,0.25
1622894_at,0
1622895_at,1
1622896_at,3.5
1622897_at,0
1622898_a_at,0
1622899_at,0.4
1622900_at,0
1622901_at,0
1622902_at,0
1622903_s_at,1
1622904_at,0
1622905_at,0
1622906_at,0
1622907_at,0
1622908_a_at,0.25
1622909_at,1
1622910_at,0
1622911_at,0
1622912_at,0
1622913_a_at,1
1622914_at,0
1622915_at,0
1622916_at,0
1622917_a_at,0
1622918_at,0
1622919_at,0
1622920_at,0
1622921_at,0
1622922_at,0
1622923_at,1
1622924_at,0
1622925_at,1
1622926_at,1
1622927_at,0
1622928_at,3.5
1622929_at,0
1622930_a_at,0
1622931_at,1
1622932_s_at,0
1622933_at,MC
1622934_at,0
1622935_at,0
1622936_at,0
1622937_at,1
1622938_at,0
1622939_at,3.5
1622940_at,0
1622941_at,1
1622942_at,0
1622943_s_at,1
1622944_at,1
1622945_a_at,0
1622946_at,0
1622947_s_at,1
1622948_at,0
1622949_at,1
1622950_a_at,3.5
1622951_at,0
1622952_at,0
1622953_at,0
1622954_at,0
1622955_at,0
1622956_at,0
1622957_s_at,0
1622958_at,0
1622959_at,0
1622960_at,0
1622961_at,0
1622962_a_at,0
1622963_at,0
1622964_at,0
1622965_s_at,0
1622966_at,0
1622967_at,0
1622968_at,1
1622969_at,0
1622970_at,1
1622971_at,1
1622972_at,0
1622973_at,0.25
1622974_at,1
1622975_at,0
1622976_at,0
1622977_at,0
1622978_at,1
1622979_a_at,1
1622980_at,0
1622981_at,0.4
1622982_at,3.5
1622983_a_at,1.7
1622984_at,1
1622985_at,0
1622986_at,0
1622987_at,0
1622988_at,0
1622989_at,0
1622990_at,0
1622991_s_at,1
1622992_at,1
1622993_at,0
1622994_at,0
1622995_at,0
1622996_at,0
1622997_at,0
1622998_a_at,0
1622999_at,0
1623000_at,0
1623001_at,0
1623002_at,0
1623003_at,0
1623004_a_at,0
1623005_at,0
1623006_at,0
1623007_a_at,0
1623008_at,3.5
1623009_at,1
1623010_at,0
1623011_at,0
1623012_at,0
1623013_s_at,0
1623014_at,0
1623015_at,0
1623016_at,0
1623017_at,1
1623018_at,0
1623019_a_at,1
1623020_at,1
1623021_at,0.833333333333333
1623022_at,0.25
1623023_at,1
1623024_at,0
1623025_at,0.833333333333333
1623026_a_at,0
1623027_s_at,0.25
1623028_at,1
1623029_at,1
1623030_at,0
1623031_a_at,0
1623032_at,0
1623033_at,0
1623034_at,0.666666666666667
1623035_at,0
1623036_a_at,1.7
1623037_a_at,1
1623038_at,0
1623039_at,1
1623040_at,0
1623041_at,0
1623042_at,0
1623043_s_at,0
1623044_at,0
1623045_at,1
1623046_at,0
1623047_at,3
1623048_a_at,1
1623049_at,0
1623050_at,0
1623051_at,0
1623052_at,0
1623053_a_at,1
1623054_at,0
1623055_at,0
1623056_at,0
1623057_at,0
1623058_at,0.666666666666667
1623059_at,0
1623060_at,0
1623061_at,0.25
1623062_at,0
1623063_at,0.666666666666667
1623064_at,0
1623065_at,0
1623066_at,0
1623067_at,0
1623068_at,0
1623069_s_at,1
1623070_a_at,0
1623071_at,0
1623072_at,0
1623073_s_at,1
1623074_at,0
1623075_at,0
1623076_at,1.5
1623077_at,0
1623078_at,0
1623079_at,0
1623080_at,0
1623081_at,3.5
1623082_s_at,0
1623083_at,1
1623084_at,0
1623085_at,0
1623086_at,0.666666666666667
1623087_at,1
1623088_at,1
1623089_at,0
1623090_at,0
1623091_at,0
1623092_at,0
1623093_at,0
1623094_at,0
1623095_at,0
1623096_a_at,0
1623097_at,1
1623098_at,0
1623099_at,0
1623100_at,0
1623101_at,0
1623102_at,0
1623103_at,0
1623104_at,3
1623105_at,0
1623106_s_at,MC
1623107_at,0
1623108_at,0
1623109_at,0
1623110_s_at,0
1623111_at,0
1623112_at,0
1623113_at,0
1623114_at,0
1623115_at,0
1623116_at,0
1623117_at,1
1623118_s_at,0.666666666666667
1623119_at,0
1623120_at,0
1623121_at,0
1623122_at,0.666666666666667
1623123_at,0
1623124_at,0.4
1623125_at,0
1623126_at,0
1623127_a_at,0
1623128_at,0
1623129_at,0
1623130_at,0
1623131_at,0
1623132_at,0
1623133_a_at,3.5
1623134_at,0
1623135_at,0
1623136_at,0
1623137_s_at,1
1623138_at,1
1623139_at,1
1623140_at,0
1623141_s_at,0
1623142_at,0
1623143_s_at,0
1623144_at,0
1623145_s_at,0
1623146_at,0
1623147_at,0
1623148_at,0
1623149_at,0
1623150_at,0
1623151_a_at,0.25
1623152_at,0
1623153_s_at,0
1623154_a_at,0.4
1623155_at,0
1623156_at,0
1623157_at,0
1623158_s_at,1
1623159_at,0
1623160_at,0
1623161_at,0
1623162_at,0
1623163_at,0
1623164_a_at,2
1623165_at,0
1623166_at,0
1623167_at,0
1623168_at,0
1623169_at,0
1623170_at,0
1623171_s_at,0.833333333333333
1623172_at,0
1623173_at,1
1623174_at,0
1623175_at,0
1623176_at,1
1623177_at,0
1623178_at,0
1623179_at,0
1623180_a_at,1
1623181_at,0
1623182_at,2
1623183_at,0
1623184_at,0
1623185_s_at,0
1623186_at,0
1623187_at,0
1623188_at,0
1623189_at,0
1623190_at,0
1623191_at,0
1623192_at,0
1623193_at,1
1623194_at,0
1623195_at,0
1623196_s_at,0
1623197_a_at,3.5
1623198_at,0
1623199_a_at,1
1623200_at,0
1623201_at,0
1623202_at,0
1623203_at,1
1623204_at,0
1623205_at,0
1623206_a_at,1
1623207_at,1
1623208_at,0
1623209_at,1.5
1623210_at,0
1623211_at,0
1623212_s_at,0
1623213_at,0
1623214_at,0
1623215_at,0
1623216_s_at,0.666666666666667
1623217_at,0
1623218_s_at,MC
1623219_at,0
1623220_at,0
1623221_at,0
1623222_s_at,0
1623223_at,1
1623224_at,0
1623225_s_at,1
1623226_at,0
1623227_s_at,1
1623228_at,0
1623229_at,0
1623230_s_at,0
1623231_at,0
1623232_at,0
1623233_at,1
1623234_s_at,0
1623235_at,1
1623236_at,0
1623237_at,1
1623238_at,1
1623239_at,1
1623240_at,0
1623241_s_at,1
1623242_at,1
1623243_at,1
1623244_at,0
1623245_at,0
1623246_at,0
1623247_at,1
1623248_s_at,0
1623249_s_at,0
1623250_at,0
1623251_at,0
1623252_a_at,0
1623253_at,1
1623254_s_at,1
1623255_at,0
1623256_at,1
1623257_a_at,0
1623258_at,0
1623259_at,0
1623260_at,0
1623261_at,0
1623262_at,0
1623263_at,0
1623264_at,1
1623265_at,1
1623266_at,0
1623267_at,1
1623268_a_at,0
1623269_at,0
1623270_at,0
1623271_a_at,0
1623272_at,0
1623273_at,0
1623274_s_at,0
1623275_at,0
1623276_at,1
1623277_at,1
1623278_at,0
1623279_at,0
1623280_at,0
1623281_s_at,0
1623282_at,0
1623283_at,0
1623284_at,0
1623285_at,1
1623286_at,0
1623287_at,0.4
1623288_at,1
1623289_at,0
1623290_at,0
1623291_at,2
1623292_at,1
1623293_at,0
1623294_at,0
1623295_at,1
1623296_at,0
1623297_at,0
1623298_at,0
1623299_at,0.25
1623300_at,0
1623301_at,0
1623302_at,1
1623303_at,0
1623304_at,0
1623305_at,1
1623306_at,1
1623307_at,0
1623308_at,0
1623309_at,0
1623310_at,0
1623311_at,0
1623312_s_at,1
1623313_at,0
1623314_at,1
1623315_at,0
1623316_at,1
1623317_at,0
1623318_s_at,0
1623319_at,0
1623320_at,1
1623321_at,0
1623322_at,0
1623323_at,0
1623324_at,1
1623325_at,0
1623326_a_at,0.25
1623327_at,0
1623328_at,1
1623329_at,0
1623330_at,1
1623331_at,0
1623332_at,0
1623333_a_at,1
1623334_at,0
1623335_a_at,1
1623336_at,0
1623337_at,0
1623338_at,0
1623339_at,2
1623340_at,0
1623341_at,0
1623342_at,0
1623343_at,0
1623344_at,0
1623345_at,0
1623346_at,0
1623347_at,1
1623348_at,1
1623349_x_at,0
1623350_at,1
1623351_at,0.25
1623352_at,0
1623353_at,1
1623354_at,0
1623355_at,1
1623356_at,0
1623357_at,1
1623358_at,0
1623359_at,1
1623360_at,0
1623361_at,0
1623362_at,0
1623363_at,0.666666666666667
1623364_at,0
1623365_at,3.5
1623366_at,1
1623367_at,0
1623368_at,0
1623369_at,0
1623370_at,0
1623371_at,0
1623372_at,0
1623373_at,0
1623374_a_at,2
1623375_at,1
1623376_s_at,0.25
1623377_at,0
1623378_at,1
1623379_at,3.5
1623380_at,0
1623381_at,0
1623382_at,0
1623383_at,0.666666666666667
1623384_at,1
1623385_at,0
1623386_s_at,0
1623387_at,1
1623388_at,0
1623389_at,0
1623390_at,0
1623391_at,0
1623392_at,0
1623393_a_at,0
1623394_at,0
1623395_at,0
1623396_at,0
1623397_at,0
1623398_at,0
1623399_at,0
1623400_at,0
1623401_a_at,1
1623402_at,1
1623403_s_at,1
1623404_at,0
1623405_at,0
1623406_at,0
1623407_at,0
1623408_s_at,MC
1623409_at,0
1623410_at,0
1623411_at,0
1623412_a_at,0
1623413_at,0
1623414_at,0
1623415_at,0
1623416_at,0
1623417_at,0
1623418_at,0
1623419_s_at,1
1623420_at,0
1623421_at,1
1623422_a_at,1
1623423_at,0
1623424_a_at,0
1623425_at,0
1623426_at,0
1623427_at,0
1623428_at,0
1623429_at,1
1623430_at,0
1623431_at,0
1623432_s_at,0
1623433_at,0
1623434_at,1
1623435_at,0
1623436_a_at,1
1623437_at,1
1623438_at,1
1623439_at,0
1623440_at,0
1623441_at,0
1623442_at,0
1623443_at,0
1623444_at,0
1623445_at,0
1623446_a_at,0
1623447_a_at,0
1623448_at,1
1623449_at,3.5
1623450_at,0
1623451_at,0
1623452_at,0
1623453_at,0
1623454_at,0
1623455_s_at,MC
1623456_at,0
1623457_at,0
1623458_at,0
1623459_at,1
1623460_at,1
1623461_at,0
1623462_at,0
1623463_at,0
1623464_at,0
1623465_at,0
1623466_at,0
1623467_at,0
1623468_at,0
1623469_s_at,0
1623470_at,3.5
1623471_s_at,1.5
